seed,target_pdp,snr_db,method,ber,shared_source,adaptation_blocks,adaptation_epochs,adaptation_optimizer,training_optimizer,learning_rate,optimizer_momentum,particular_initialisation,rho,sigma,iadmm_iterations
2026,7,6.0,joint_particular_adaptation,0.2845869064331054,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,7,8.0,joint_particular_adaptation,0.2471141815185547,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,7,10.0,joint_particular_adaptation,0.2175970077514648,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,7,12.0,joint_particular_adaptation,0.196725845336914,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,7,14.0,joint_particular_adaptation,0.1803436279296875,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,7,16.0,joint_particular_adaptation,0.167205810546875,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,7,18.0,joint_particular_adaptation,0.1594886779785156,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,7,20.0,joint_particular_adaptation,0.1551761627197265,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,6,0.0,joint_particular_adaptation,0.3899469375610351,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,6,2.0,joint_particular_adaptation,0.3550834655761719,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,6,4.0,joint_particular_adaptation,0.3170890808105469,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,6,6.0,joint_particular_adaptation,0.2783317565917969,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,6,8.0,joint_particular_adaptation,0.2428131103515625,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,6,10.0,joint_particular_adaptation,0.2111454010009765,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,6,12.0,joint_particular_adaptation,0.188603401184082,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,6,14.0,joint_particular_adaptation,0.1689023971557617,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,6,16.0,joint_particular_adaptation,0.1567554473876953,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,6,18.0,joint_particular_adaptation,0.1490421295166015,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,6,20.0,joint_particular_adaptation,0.1466846466064453,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,7,0.0,joint_particular_adaptation,0.391885757446289,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,7,2.0,joint_particular_adaptation,0.3583183288574219,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,7,4.0,joint_particular_adaptation,0.3226747512817383,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,7,6.0,joint_particular_adaptation,0.2852048873901367,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,7,8.0,joint_particular_adaptation,0.2491445541381836,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,7,10.0,joint_particular_adaptation,0.2204980850219726,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,7,12.0,joint_particular_adaptation,0.1962642669677734,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,7,14.0,joint_particular_adaptation,0.1806707382202148,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,7,16.0,joint_particular_adaptation,0.1692171096801757,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,7,18.0,joint_particular_adaptation,0.160470962524414,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2027,7,20.0,joint_particular_adaptation,0.1553020477294922,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2028,6,0.0,joint_particular_adaptation,0.3898248672485351,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2028,6,2.0,joint_particular_adaptation,0.3559103012084961,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2028,6,4.0,joint_particular_adaptation,0.3191871643066406,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
