target_pdp,snr_db,method,seed_count,mean_ber,std_ber,min_ber,max_ber
7,6.0,algorithm1_particular_adaptation,3,0.2225027084350585,0.0011018500639652581,0.2213029861450195,0.2239637374877929
7,8.0,algorithm1_particular_adaptation,3,0.17890707651774088,0.0012197185890575628,0.1772298812866211,0.1800947189331054
7,10.0,algorithm1_particular_adaptation,3,0.14336617787679032,0.0012019208356772912,0.1416664123535156,0.1442203521728515
7,12.0,algorithm1_particular_adaptation,3,0.11544195810953774,0.0014577537834176946,0.1136674880981445,0.1172380447387695
7,14.0,algorithm1_particular_adaptation,3,0.0958614349365234,0.001008333704701831,0.0949745178222656,0.0972719192504882
7,16.0,algorithm1_particular_adaptation,3,0.08234628041585283,0.0008847447022138023,0.0816965103149414,0.083597183227539
7,18.0,algorithm1_particular_adaptation,3,0.07395521799723304,0.0005688938862011135,0.0733823776245117,0.0747308731079101
7,20.0,algorithm1_particular_adaptation,3,0.06855519612630202,0.001045467278718082,0.0676174163818359,0.0700139999389648
7,0.0,joint_no_adaptation,3,0.39425404866536456,0.0005993984488477797,0.3936109542846679,0.3950538635253906
7,2.0,joint_no_adaptation,3,0.36085669199625653,0.0008140045897534051,0.3597183227539062,0.3615741729736328
7,4.0,joint_no_adaptation,3,0.32323964436848956,0.0019469493117985222,0.3204975128173828,0.3248262405395508
7,6.0,joint_no_adaptation,3,0.28848107655843097,0.0006280220334357592,0.287663459777832,0.2891902923583984
7,8.0,joint_no_adaptation,3,0.2520987192789714,0.001931138816320064,0.2497415542602539,0.2544717788696289
7,10.0,joint_no_adaptation,3,0.22393894195556638,0.0018723249292227477,0.2213916778564453,0.2258386611938476
7,12.0,joint_no_adaptation,3,0.20047887166341147,0.0005108611361748771,0.1998796463012695,0.2011280059814453
7,14.0,joint_no_adaptation,3,0.18364016215006507,0.0006286888119459872,0.1827516555786132,0.184112548828125
7,16.0,joint_no_adaptation,3,0.1716823577880859,0.0007593643347163726,0.1709880828857422,0.172739028930664
7,18.0,joint_no_adaptation,3,0.1641467412312825,0.0010557728417559928,0.1629352569580078,0.1655082702636718
7,20.0,joint_no_adaptation,3,0.15837287902832028,0.00021081739592986455,0.1580772399902343,0.1585540771484375
7,0.0,joint_particular_adaptation,3,0.3919239044189453,0.00016649926378165547,0.3917417526245117,0.3921442031860351
7,2.0,joint_particular_adaptation,3,0.3584760030110677,0.00017848804588438584,0.3583183288574219,0.3587255477905273
7,4.0,joint_particular_adaptation,3,0.3211507797241211,0.00146840328625702,0.3191671371459961,0.3226747512817383
