method,support_size,target_pdp,snr_db,seed_count,mean_ber,std_ber,min_ber,max_ber
algorithm1_particular_adaptation,64,7,16.0,3,0.14803536732991537,0.008004395065260121,0.14190387725830078,0.15934181213378906
algorithm1_particular_adaptation,64,7,18.0,3,0.14090760548909506,0.009198418828551635,0.13374996185302734,0.15389347076416016
algorithm1_particular_adaptation,64,7,20.0,3,0.13577397664388022,0.008928471250084185,0.1287822723388672,0.1483755111694336
algorithm1_particular_adaptation,128,6,0.0,3,0.3695220947265625,0.0007866620445405596,0.36893653869628906,0.3706340789794922
algorithm1_particular_adaptation,128,6,2.0,3,0.32851187388102215,0.0003554927527405915,0.32801246643066406,0.3288116455078125
algorithm1_particular_adaptation,128,6,4.0,3,0.2844381332397461,0.0008603181938286613,0.2837409973144531,0.28565025329589844
algorithm1_particular_adaptation,128,6,6.0,3,0.24057579040527344,0.0010918325661364123,0.23969078063964844,0.24211406707763672
algorithm1_particular_adaptation,128,6,8.0,3,0.20105361938476562,0.0012618984055539214,0.19981765747070312,0.20278644561767578
algorithm1_particular_adaptation,128,6,10.0,3,0.16742865244547525,0.0011001661022346423,0.1662149429321289,0.16887855529785156
algorithm1_particular_adaptation,128,6,12.0,3,0.14190006256103516,0.000394809649018429,0.1413440704345703,0.14222240447998047
algorithm1_particular_adaptation,128,6,14.0,3,0.12220923105875652,0.0013090588038976768,0.12059402465820312,0.12380027770996094
algorithm1_particular_adaptation,128,6,16.0,3,0.10917441050211589,0.0010372874124930716,0.10778617858886719,0.11027908325195312
algorithm1_particular_adaptation,128,6,18.0,3,0.1000986099243164,0.0005970828899822542,0.09926223754882812,0.1006174087524414
algorithm1_particular_adaptation,128,6,20.0,3,0.09531148274739583,0.0008056485490878765,0.09453010559082031,0.0964202880859375
algorithm1_particular_adaptation,128,7,0.0,3,0.36767737070719403,0.0006986861873112529,0.36669063568115234,0.36821556091308594
algorithm1_particular_adaptation,128,7,2.0,3,0.3255758285522461,0.0012507178393191514,0.3242454528808594,0.32725048065185547
algorithm1_particular_adaptation,128,7,4.0,3,0.2812328338623047,0.000948762004165065,0.28012847900390625,0.28244495391845703
