layer_name,parameter_group,parameter_count,delta_l2,relative_delta_l2,maximum_absolute_delta,seed,target_pdp,support_size,method
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
pred_logits_full,shared,97,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
decoder_conv_1,particular,102656,0.1628003865480423,0.014264880261246025,0.0053231194615364075,2026,7,64,algorithm1_particular_adaptation
decoder_res1_input,particular,163968,0.33823129534721375,0.02539226415295428,0.0050627607852220535,2026,7,64,algorithm1_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
decoder_res1_conv2,particular,82048,0.441646546125412,0.03728986853689563,0.0169820599257946,2026,7,64,algorithm1_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
